stamp_abs,stamp_rel,x,y,z,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz
1778504672.051030159,697.699614286,-0.003152802,0.007954167,0.002222886,0.015850191,-0.011649910,-0.005029997,0.999793854,0.031590592,-0.023456620,-0.009691431,0.002123026,-0.007887585,-0.000273784
1778504672.144592047,697.793176174,-0.004801346,0.009688121,0.003116977,0.013990121,-0.011673218,-0.003591756,0.999827541,0.027902849,-0.023445057,-0.006857593,-0.006630177,0.005004983,0.001976508
1778504672.243483067,697.892067194,-0.004719216,0.007941716,0.001974849,0.015656624,-0.010579598,-0.003508913,0.999815298,0.031245367,-0.021266766,-0.006686809,-0.003312264,-0.005275381,-0.001683130
1778504672.356462002,698.005046129,-0.007557341,0.006822927,0.003217818,0.016332669,-0.012443334,-0.002672341,0.999785610,0.032607771,-0.024971221,-0.004938630,-0.016664874,-0.009773709,0.001390570
1778504672.458599091,698.107183218,-0.008120814,0.006115607,0.003945347,0.015938460,-0.010430128,-0.003625853,0.999811998,0.031807649,-0.020973454,-0.006919440,-0.011437066,-0.009340622,0.003113017
1778504672.559239864,698.207823992,-0.009105212,0.007197190,0.006656034,0.013721262,-0.011533756,-0.002240877,0.999836826,0.027397107,-0.023127305,-0.004165634,-0.013505364,0.002211871,0.009254635
1778504672.630776167,698.279360294,-0.007797477,0.008757027,0.006673118,0.013041866,-0.010016514,-0.004003632,0.999856765,0.026007994,-0.020135949,-0.007746498,-0.002794018,0.011163914,0.007879409
1778504672.747721910,698.396306038,-0.006634100,0.009707164,0.006196940,0.013716361,-0.009372281,-0.004161225,0.999853342,0.027358975,-0.018857085,-0.008065643,0.005148709,0.012469490,0.004359679
1778504672.845332623,698.493916750,-0.007837726,0.011199781,0.003766208,0.013491669,-0.010521218,-0.003480750,0.999847570,0.026915242,-0.021134725,-0.006678082,-0.001604500,0.016516146,-0.002843888
1778504672.961473703,698.610057831,-0.006395856,0.010768670,0.003088983,0.014981963,-0.008955517,-0.004004910,0.999839637,0.029896701,-0.018029142,-0.007741528,0.007501440,0.007258837,-0.003615601
1778504673.060741901,698.709326029,-0.006884854,0.008823447,0.002650258,0.016114127,-0.010204349,-0.005218394,0.999804468,0.032127777,-0.020574339,-0.010108191,0.002362260,-0.004824481,-0.004378141
1778504673.166545868,698.815129995,-0.007613653,0.009625909,0.002285090,0.015784813,-0.009922907,-0.004828616,0.999814513,0.031479434,-0.019995902,-0.009344183,-0.000206148,-0.001243525,-0.004296736
1778504673.247586250,698.896170378,-0.005869233,0.010927867,0.001799931,0.014074902,-0.009283021,-0.004941394,0.999845641,0.028062306,-0.018703365,-0.009621779,0.008697290,0.007722363,-0.004444135
1778504673.324950218,698.973534346,-0.006342165,0.009850321,-0.000119053,0.015884652,-0.009295623,-0.006780505,0.999807628,0.031648012,-0.018804191,-0.013265819,0.005824395,-0.001559394,-0.009116817
1778504673.463412762,699.111996889,-0.004997677,0.007117281,-0.000506956,0.017151897,-0.008685030,-0.004880760,0.999803261,0.034224207,-0.017534969,-0.009463266,0.011249169,-0.015632922,-0.006979655
1778504673.529017687,699.177601814,-0.004558072,0.007191027,0.001102409,0.015183499,-0.009475767,-0.004549405,0.999829473,0.030285748,-0.019087612,-0.008811228,0.010048977,-0.008660805,-0.001685236
