stamp_abs,stamp_rel,valid,deg,eig_min,cond,axial,lateral,local_length,width,height,global_length,conf,u_pos_count,u_neg_count,v_pos_count,v_neg_count,four_wall_fit_ok,geom_raw_count,geom_filtered_count,intensity_trim_used
1776866020.960331678,5.800228596,0,0,0.402636984,172.888663658,52.333333462,52.333333462,0.532150108,0.357690946,0.424404487,0.625028659,0.581390366,27,14,0,22,0,157,141,1
1776866021.061176538,5.901073456,1,0,0.328260033,184.031522779,30.649489269,53.175255399,0.639389316,0.280366086,0.235508097,0.625028659,0.562619644,22,10,0,18,0,137,123,1
1776866021.160245657,6.000142574,0,0,0.182817668,240.521520366,32.999999988,32.999999988,0.362442532,0.487757069,0.473006485,0.625028659,0.506699408,13,4,12,13,0,99,89,1
1776866021.260276318,6.100173235,1,0,0.164801092,228.906429541,19.378854222,34.310572851,0.470011860,0.324182650,0.344049868,0.625028659,0.528961039,15,1,17,8,0,88,79,1
1776866021.360305548,6.200202465,1,0,0.200503859,210.624363086,26.025541188,39.987229342,0.469745813,0.358049217,0.289160212,0.625028659,0.505899878,13,7,4,16,0,106,95,1
1776866021.460368633,6.300265551,0,0,0.198172081,185.291729383,30.666666676,30.666666676,0.225179142,0.358829387,0.864122916,0.625028659,0.475504847,7,8,4,16,0,92,82,1
1776866021.560180426,6.400077343,1,0,0.095002604,340.911669661,16.298995758,29.350501993,0.430868318,0.263978210,0.214766776,0.625028659,0.515352070,11,11,1,8,0,75,67,1
1776866021.660183907,6.500080824,0,0,0.195677847,218.341541838,32.000000196,32.000000196,0.459440499,0.466342849,0.263376418,0.625028659,0.533484704,16,7,4,12,0,96,88,1
1776866021.760255337,6.600152254,0,0,0.199439160,166.731985411,27.999999984,27.999999984,0.837564514,0.293469235,0.241058543,0.625028659,0.497874006,13,6,0,19,0,84,75,1
1776866021.860334396,6.700231314,0,0,0.184587853,158.501851645,24.333333354,24.333333354,0.524523539,0.251386991,0.311434067,0.625028659,0.462266749,15,1,1,14,0,73,65,1
1776866021.960273266,6.800170183,0,0,0.113342041,288.717838714,25.666666502,25.666666502,0.811400334,0.261104738,0.187574884,0.625028659,0.606626612,11,11,0,18,0,77,69,1
1776866022.060221910,6.900118828,1,0,0.179200576,251.317645911,18.844670547,39.077664328,0.520793899,0.309192681,0.338387870,0.625028659,0.596146588,13,4,18,4,0,97,87,1
1776866022.160210371,7.000107288,0,0,0.242216502,222.142500927,40.999999713,40.999999713,0.410600723,0.291539321,0.453369283,0.625028659,0.580724674,9,15,18,1,0,123,110,1
1776866022.260249615,7.100146532,1,0,0.329536028,190.631810533,32.785728753,60.107135537,0.477879131,0.329888892,0.325507577,0.625028659,0.554136563,18,5,23,6,0,153,137,1
1776866022.360229492,7.200126410,1,0,0.367176803,164.641832883,35.368401674,57.815798835,0.678255157,0.256445327,0.331647059,0.625028659,0.542510148,22,8,29,1,0,151,136,1
1776866022.460443735,7.300340652,1,0,0.287367249,197.234962605,28.981880232,54.009059827,0.286800809,0.311794260,0.368751202,0.625028659,0.550138930,6,20,13,6,1,137,124,1
1776866022.560301542,7.400198460,0,0,0.187639617,205.073072012,32.333333464,32.333333464,0.821540526,0.310931972,0.176516104,0.625028659,0.552698548,3,20,25,1,0,97,87,1
1776866022.660324812,7.500221729,1,0,0.175542953,230.675889879,19.219704230,34.390147866,0.623677582,0.268733682,0.228762583,0.625028659,0.582797958,6,15,10,1,0,88,79,1
1776866022.760337114,7.600234032,1,0,0.152013126,247.985529453,22.903472641,34.548263856,0.668407460,0.291092310,0.227163985,0.625028659,0.507831220,7,18,10,1,0,92,83,1
1776866022.860190630,7.700087547,1,0,0.241697776,225.961867276,31.008066413,50.495967031,0.663373139,0.295474907,0.281610882,0.625028659,0.540643120,6,34,20,0,0,132,121,1
1776866022.960185766,7.800082684,1,0,0.157828262,264.740991018,19.296950312,35.851525058,0.627049120,0.306050471,0.237281546,0.625028659,0.590687942,8,16,18,0,0,91,85,1
